ID,PlName,soil,Moi_min,Moi_max,pH_min,pH_max,Nut_min,Nut_max,Temp_min,Temp_max,Sal_min,Sal_max,local
01,มะนาว,"14",50,70,6,7.5,2,4,25,30,2,4,None
02,ผักกาด,"ดินร่วน,ดินทราย",60,70,6,6.5,8,16,15,20,8,16,None
03,ถั่วฝักยาว,"ดินร่วน,ดินเหนียว",60,70,5.5,6,2,4,25,35,2,4,None
04,กะหล่ำปลี,"ดินร่วน,ดินทราย",60,70,6,7,0,2,15,20,0,2,None
05,มะเขือเทศ,"ดินร่วน,ดินปนทราย",60,70,5.5,6.5,8,16,20,30,8,16,None
06,ฟักทอง,"ดินร่วน,ดินเหนียว",60,70,5.5,6,0,2,25,30,0,2,None
07,แครอท,"ดินร่วน,ดินทราย",70,80,6.3,6.5,0,2,15,20,0,2,None
08,มะละกอ,"ดินร่วน,ดินร่วนปนดินทราย,ดินเหนียวปนดินร่วน",60,70,5.2,6,0,1.5,25,35,0,1.5,None
09,กะเพรา,ดินร่วน,60,70,6,6.8,16,-1,20,30,16,-1,None
10,โหระพา,ดินร่วน,70,80,5.5,6,0,2,20,30,0,2,None
11,แตงกวา,"ดินร่วน,ดินทราย",70,80,5.8,6,2,4,18,25,2,4,None
12,ขิง,ดินร่วนปนทราย,70,80,5.6,5.9,0,2,20,30,0,2,None
13,ข่า,ดินร่วน,70,80,5.5,6.5,0,2,25,35,0,2,None
14,ตะไคร้,ดินร่วนปนทราย,70,80,6,7,0,2,25,35,0,2,None
15,มะกรูด,"ดินร่วน,ดินร่วนปนทราย",60,70,5.5,6.5,0,2,25,35,0,2,None
16,สตรอว์เบอร์รี่,ดินร่วนปนทราย,70,80,5.5,6.5,0,1,15,25,0,1,None
17,ผักชี,"ดินร่วน,ดินร่วนปนทราย,ดินเหนียว",60,70,6,6.5,0,2,15,25,0,2,None
18,ผักชีลาว,ดินร่วน,60,70,6,7,0,2,15,25,0,2,None
19,คะน้า,"ดินร่วน,ดินทราย",60,70,5.5,6.5,16,-1,15,25,16,-1,None
20,กวางตุ้ง,ทุกชนิด,60,70,6,7,0,2,15,25,0,2,None
21,พริก,None,50,70,5.5,7,4,8,25,30,4,8,None
22,ถั่วลันเตา,None,60,70,6,7.5,1.5,2,13,18,1.5,2,None
23,ขึ้นฉ่าย,None,65,75,5.8,7,2,4,15,20,2,4,None
24,กระเทียม,None,60,70,5.5,8,2,3,10,20,2,3,None
25,มันฝรั่ง,None,60,80,4.8,6.5,2,3,15,20,2,3,None
26,หัวไชเท้า,None,60,70,6,7,0,1.5,10,18,0,1.5,None
27,หอมหัวใหญ่,None,50,60,6,7,4,8,12,24,4,8,None
28,ต้นหอม,None,50,70,6,7,0,2,13,24,0,2,None
29,ผักบุ้ง,None,80,-1,6,7.5,0,1.5,25,30,0,1.5,None
30,พริกไทย,None,75,85,5.5,6.5,0,2,25,32,0,2,None
31,มะเขือม่วง,ดินร่วนปนทราย,60,70,5.5,7,0,2,25,30,0,2,None
32,กระชาย,"ดินร่วน,ดินร่วนปนทราย,ดินร่วนเหนียว",85,95,6,7.5,1.7,2.5,20,28,1.7,2.5,None
33,บล็อคโคลี่,ดินร่วนปนทราย,60,70,6,7.5,1.5,2,18,24,1.5,2,None
34,มะพร้าว,"ดินร่วน,ดินร่วนปนทราย,ดินทราย",60,80,5.5,7.5,4,6,25,30,4,6,None
35,มะม่วง,"ดินร่วนปนทราย,ดินเหนียว,ดินร่วน",50,80,5.5,7.5,2,4,24,30,2,4,None
36,กล้วย,"ดินตะกอน,ดินเหนียว",60,80,5.5,6.5,2,4,26,30,2,4,None
37,ขนุน,ดินร่วนปนทราย,60,75,5,6.5,2.5,3,25,30,2.5,3,None
38,ข้าวโพด,"ดินร่วน,ดินร่วนเหนียวปนทราย,ดินร่วนปนทราย,ดินทราย",50,70,5.8,7,1.7,2.5,20,30,1.7,2.5,None
39,อะโวคาโด,ดินร่วนซุย,60,80,5.5,6.5,2.5,3,15,25,2.5,3,None
40,มังคุด,"ดินร่วนซุย,ดินร่วนปนทราย",70,80,5,6,0,1,25,30,0,1,None
41,แก้วมังกร,"ดินร่วนปนทราย,ดินเหนียว,ดินลูกรัง,",50,70,6,7.5,0,2,18,30,0,2,None
42,แคนตาลูป,ดินเหนียว,50,60,6,6.8,8,16,21,24,8,16,None
43,ส้ม,ค่อนข้างเป็นกรดจัด,60,80,5.5,6.5,2,4,25,30,2,4,None
44,ฝรั่ง,"ดินร่วนปนทราย,ดินตกตะกอนริมแม่น้า",50,70,5.5,7,8,16,23,30,8,16,None
45,แตงโม,ดินร่วนปนทรายดินร่วน,40,60,5.8,6.6,4,8,25,30,4,8,None
46,ทุเรียน,"ดินร่วนปนทราย,ดินเหนียวปนทราย",70,85,5,6.5,0,2,25,30,0,2,None
47,เชอร์รี่,ดินร่วนปนทราย,50,70,6,7,0,1.5,18,25,0,1.5,None
48,กีวี่,ดินร่วนชุย,60,80,5,6.5,0,1.5,15,25,0,1.5,None
49,ชมพู่,ดินร่วนปนทราย,50,70,5.5,6.5,4,8,25,30,4,8,None
50,อ้อย,"ดินร่วนทราย,ดินร่วนเหนียว",60,80,5.5,6.5,3,3,25,35,3,3,None
